Start Date,End Date,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited,Photos,Description
2008/1,2008/03,Middle East Mosaics,"Rob Oden, Dana Strand, & Steve Strand",Winter,32,"Egypt, Morocco, Turkey","Egypt, Morocco, Turkey",,"This OCS ran from 2008/1 to 2008/03, and visited Egypt, Morocco, Turkey.

Lead by Rob Oden, Dana Strand, & Steve Strand with 32 total students in partipation across the years."
2008/11,2009/12,Biodiversity & Conservation In Tanzania,Tsegaye Nega,Winter Break,15,Tanzania,Tanzania,,"This OCS ran from 2008/11 to 2009/12, and visited Tanzania.

Lead by Tsegaye Nega with 15 total students in partipation across the years."
2008/11,2009/12,Environmental Justice In New Orleans,Kim Smith,Winter Break,15,USA,USA,,"This OCS ran from 2008/11 to 2009/12, and visited USA.

Lead by Kim Smith with 15 total students in partipation across the years."
2009/03,2013/06,New Media: Theory And Practice In Europe,John Schott,Spring,67,Spain,"The Netherlands, Spain, Turkey",,"This OCS ran from 2009/03 to 2013/06, and visited The Netherlands, Spain, Turkey.

Lead by John Schott with 67 total students in partipation across the years."
2009/03,2012/06,Russian Language & Literature In Moscow,"Diane Nemec-Ignashev, Diane Nemec Ignashev",Spring,31,Russia,Russia,,"This OCS ran from 2009/03 to 2012/06, and visited Russia.

Lead by Diane Nemec-Ignashev, Diane Nemec Ignashev with 31 total students in partipation across the years."
2009/1,2010/03,Spanish Seminar In Mexico,José Cerna Bazan,Winter,23,Mexico,Mexico,,"This OCS ran from 2009/1 to 2010/03, and visited Mexico.

Lead by José Cerna Bazan with 23 total students in partipation across the years."
2009/1,2023/03,Studio Art In The South Pacific,"Eleanor Jensen, Fred Hagstrom",Winter,179,New Zealand,"Australia, Cook Islands, New Zealand",,"This OCS ran from 2009/1 to 2023/03, and visited Australia, Cook Islands, New Zealand.

Lead by Eleanor Jensen, Fred Hagstrom with 179 total students in partipation across the years."
2009/11,2018/12,Agricultural Sustainability In China And The U.S.,David Hougen-Eitzman,Winter Break,36,China,China,,"This OCS ran from 2009/11 to 2018/12, and visited China.

Lead by David Hougen-Eitzman with 36 total students in partipation across the years."
2010/1,2010/03,Coastal Marine Ecology In Australia,Annie Bosacker,Winter,25,Australia,Australia,,"This OCS ran from 2010/1 to 2010/03, and visited Australia.

Lead by Annie Bosacker with 25 total students in partipation across the years."
2009/11,2012/12,Faith & Fiction: National Identity In Israel,Stacy Beckwith & Louis Newman,Winter Break,31,Israel,Israel,,"This OCS ran from 2009/11 to 2012/12, and visited Israel.

Lead by Stacy Beckwith & Louis Newman with 31 total students in partipation across the years."
2010/1,2023/03,Geology In New Zealand,"Cam Davidson & Sarah Titus, Clint Cowan & Cam Davidson, Clint Cowan & Sarah Titus",Winter,162,New Zealand,New Zealand,,"This OCS ran from 2010/1 to 2023/03, and visited New Zealand.

Lead by Cam Davidson & Sarah Titus, Clint Cowan & Cam Davidson, Clint Cowan & Sarah Titus with 162 total students in partipation across the years."
2010/11,2011/12,Art And Architecture In England,Baird Jarman,Winter Break,9,UK,UK,,"This OCS ran from 2010/11 to 2011/12, and visited UK.

Lead by Baird Jarman with 9 total students in partipation across the years."
2011/1,2011/03,Comparing Welfare States In Australia,Peter Brandon,Winter,16,Australia,Australia,,"This OCS ran from 2011/1 to 2011/03, and visited Australia.

Lead by Peter Brandon with 16 total students in partipation across the years."
2011/1,2013/03,Conservation And Development In Tanzania And Kenya,Tsegaye Nega,Winter,36,Tanzania,"Kenya, Tanzania",,"This OCS ran from 2011/1 to 2013/03, and visited Kenya, Tanzania.

Lead by Tsegaye Nega with 36 total students in partipation across the years."
2010/08,2022/11,Cross-cultural Psychology In Prague,Ken Abrams,Fall,140,Czech Republic,Czech Republic,,"This OCS ran from 2010/08 to 2022/11, and visited Czech Republic.

Lead by Ken Abrams with 140 total students in partipation across the years."
2011/03,2011/06,European Political Economy In Madrid & Maastricht,Al Montero,Spring,26,Spain,"Spain, The Netherlands",,"This OCS ran from 2011/03 to 2011/06, and visited Spain, The Netherlands.

Lead by Al Montero with 26 total students in partipation across the years."
2011/11,2014/12,Agricultural Sustainability In The Us & China,David Hougen-Eitzman,Winter Break,24,China,China,,"This OCS ran from 2011/11 to 2014/12, and visited China.

Lead by David Hougen-Eitzman with 24 total students in partipation across the years."
2012/1,2017/03,Ecology In Australia,Annie Bosacker,Winter,103,Australia,Australia,,"This OCS ran from 2012/1 to 2017/03, and visited Australia.

Lead by Annie Bosacker with 103 total students in partipation across the years."
2012/03,2018/06,"Japanese Linguistics And Culture In Kyoto, Japan",Mike Flynn,Spring,66,Japan,Japan,,"This OCS ran from 2012/03 to 2018/06, and visited Japan.

Lead by Mike Flynn with 66 total students in partipation across the years."
2012/03,2017/06,"Society, Culture, And Language In Peru",José Cerna Bazan,Spring,76,Peru,Peru,,"This OCS ran from 2012/03 to 2017/06, and visited Peru.

Lead by José Cerna Bazan with 76 total students in partipation across the years."
2012/11,2013/12,Biogeoscience In Belize: Tropical Marine And Marginal Marine Ecosystems,Clint Cowan ,Winter Break,13,Belize,Belize,,"This OCS ran from 2012/11 to 2013/12, and visited Belize.

Lead by Clint Cowan  with 13 total students in partipation across the years."
2012/08,2014/11,Chinese Studies In China,Qiguang Zhao,Fall,41,China,China,,"This OCS ran from 2012/08 to 2014/11, and visited China.

Lead by Qiguang Zhao with 41 total students in partipation across the years."
2013/03,2023/06,"History, Religion, And Urban Change In Medieval And Renaissance Rome",Victoria Morse & Bill North,Spring,127,Italy,Italy,,"This OCS ran from 2013/03 to 2023/06, and visited Italy.

Lead by Victoria Morse & Bill North with 127 total students in partipation across the years."
2012/11,2020/12,Microeconomic Development In Bangladesh,Faress Bhuiyan,Winter Break,59,Bangladesh,Bangladesh,,"This OCS ran from 2012/11 to 2020/12, and visited Bangladesh.

Lead by Faress Bhuiyan with 59 total students in partipation across the years."
2012/11,2013/12,Voice And Visibility In Afro – Arab Women’s History In Dubai Uae,Thabiti Willis,Winter Break,16,United Arab Emirates,United Arab Emirates,,"This OCS ran from 2012/11 to 2013/12, and visited United Arab Emirates.

Lead by Thabiti Willis with 16 total students in partipation across the years."
2014/1,2016/03,Biology In Australia & New Zealand,"Mark McKone, Nancy Braker, & Gary Wagenbach, Mark McKone, Matt Rand, Dan Hernandez",Winter,49,"Australia, New Zealand","Australia, New Zealand",,"This OCS ran from 2014/1 to 2016/03, and visited Australia, New Zealand.

Lead by Mark McKone, Nancy Braker, & Gary Wagenbach, Mark McKone, Matt Rand, Dan Hernandez with 49 total students in partipation across the years."
2014/03,2014/06,Identity And Belonging In The New Europe (posc),Dev Gupta,Spring,24,"Scotland, UK; Hungary","Scotland, UK; Hungary",,"This OCS ran from 2014/03 to 2014/06, and visited Scotland, UK; Hungary.

Lead by Dev Gupta with 24 total students in partipation across the years."
2014/03,2016/06,Moscow & Beyond: Russian Language And Cultural Studies,Diane Nemec-Ignashev,Spring,17,Russia,Russia,,"This OCS ran from 2014/03 to 2016/06, and visited Russia.

Lead by Diane Nemec-Ignashev with 17 total students in partipation across the years."
2014/1,2022/03,Sport And Globalization In London And Seville,Bob Carlson,Winter,116,UK,"UK, Spain",,"This OCS ran from 2014/1 to 2022/03, and visited UK, Spain.

Lead by Bob Carlson with 116 total students in partipation across the years."
2014/03,2014/06,Wilderness Studies In The Grand Canyon,George Vrtis,Spring Break,14,USA,USA,,"This OCS ran from 2014/03 to 2014/06, and visited USA.

Lead by George Vrtis with 14 total students in partipation across the years."
2014/11,2017/12,Cams Cinema And Culture Change In Chile And Argentina,Jay Beck & Cecilia Cornejo,Winter Break,29,"Argentina, Chile","Argentina, Chile",,"This OCS ran from 2014/11 to 2017/12, and visited Argentina, Chile.

Lead by Jay Beck & Cecilia Cornejo with 29 total students in partipation across the years."
2015/03,2015/06,New Media In Japan,John Schott,Spring,20,Japan,Japan,,"This OCS ran from 2015/03 to 2015/06, and visited Japan.

Lead by John Schott with 20 total students in partipation across the years."
2015/1,2020/03,Political Economy And Ecology Of Southeast Asia,Tun Myint,Winter,37,Myanmar,"Myanmar, Thailand",,"This OCS ran from 2015/1 to 2020/03, and visited Myanmar, Thailand.

Lead by Tun Myint with 37 total students in partipation across the years."
2014/11,2021/12,"Public Health In Practice In The Twin Cities And Washington, D.C.",Debby Walser-Kuntz,Winter Break,53,USA,USA,,"This OCS ran from 2014/11 to 2021/12, and visited USA.

Lead by Debby Walser-Kuntz with 53 total students in partipation across the years."
2014/11,2015/12,U.S. Relations With Ghana: The Field Trip And Beyond (Moved from Ghana to Amsterdam),Harry Williams,Winter Break,14,The Netherlands,The Netherlands,,"This OCS ran from 2014/11 to 2015/12, and visited The Netherlands.

Lead by Harry Williams with 14 total students in partipation across the years."
2016/1,2016/03,Conservation And Development In Ethiopia And Tanzania,Tsegaye Nega,Winter,14,"Ethiopia, Tanzania","Ethiopia, Tanzania",,"This OCS ran from 2016/1 to 2016/03, and visited Ethiopia, Tanzania.

Lead by Tsegaye Nega with 14 total students in partipation across the years."
2015/08,2017/11,German And European Studies In Berlin,"Sigrun Leonhard & David Tompkins, David Tompkins & Lydia Tang",Fall,50,Germany,Germany,,"This OCS ran from 2015/08 to 2017/11, and visited Germany.

Lead by Sigrun Leonhard & David Tompkins, David Tompkins & Lydia Tang with 50 total students in partipation across the years."
2015/11,2018/12,Studio Art: The New York Program,Dan Bruggeman,Winter Break,26,USA,USA,,"This OCS ran from 2015/11 to 2018/12, and visited USA.

Lead by Dan Bruggeman with 26 total students in partipation across the years."
2016/03,2022/06,Wilderness Studies At The Grand Canyon,George Vrtis,Spring Break,35,USA,USA,,"This OCS ran from 2016/03 to 2022/06, and visited USA.

Lead by George Vrtis with 35 total students in partipation across the years."
2017/1,2017/03,Digital Photography And New Media In Europe And Northern Africa,John Schott,Winter,21,Morocco,"Germany, Portugal, Morocco",,"This OCS ran from 2017/1 to 2017/03, and visited Germany, Portugal, Morocco.

Lead by John Schott with 21 total students in partipation across the years."
2017/03,2017/06,"Gardens, Landscape, And The Built Environment In Japan",Katie Ryor,Spring,15,Japan,Japan,,"This OCS ran from 2017/03 to 2017/06, and visited Japan.

Lead by Katie Ryor with 15 total students in partipation across the years."
2016/11,2017/12,Geology And Natural History In Tasmania,Mary Savina & Nancy Braker,Winter Break,8,Australia,Australia,,"This OCS ran from 2016/11 to 2017/12, and visited Australia.

Lead by Mary Savina & Nancy Braker with 8 total students in partipation across the years."
2017/1,2023/03,India: Globalization And Local Responses,Meera Sehgal & Brendan LaRocque,Winter,45,India,India,,"This OCS ran from 2017/1 to 2023/03, and visited India.

Lead by Meera Sehgal & Brendan LaRocque with 45 total students in partipation across the years."
2016/08,2022/11,Spanish Studies In Madrid,Humberto Huergo,Fall,90,Spain,Spain,,"This OCS ran from 2016/08 to 2022/11, and visited Spain.

Lead by Humberto Huergo with 90 total students in partipation across the years."
2016/11,2019/12,Sustainable Energy Principles & Practice In India,Arjendu Pattanayak,Winter Break,28,India,India,,"This OCS ran from 2016/11 to 2019/12, and visited India.

Lead by Arjendu Pattanayak with 28 total students in partipation across the years."
2017/1,2023/03,Visions Of California: Searching For The Golden State,Mike Kowalewski,Winter,47,USA,USA,,"This OCS ran from 2017/1 to 2023/03, and visited USA.

Lead by Mike Kowalewski with 47 total students in partipation across the years."
2018/03,2023/06,(beyond) Nationalism And Xenophobia In Central And Eastern Europe,Mihaela Czobor-Lupp,Spring,33,Romania,Romania,,"This OCS ran from 2018/03 to 2023/06, and visited Romania.

Lead by Mihaela Czobor-Lupp with 33 total students in partipation across the years."
2018/1,2022/03,Architectural Studies In Europe,Baird Jarman,Winter,70,Spain,"UK, Italy, Spain",,"This OCS ran from 2018/1 to 2022/03, and visited UK, Italy, Spain.

Lead by Baird Jarman with 70 total students in partipation across the years."
2017/06,2017/08,Art Now:  Global Contemporary Art And The Mega Exhibitions,Ross Elfline,Summer,15,Italy,"Germany, Italy",,"This OCS ran from 2017/06 to 2017/08, and visited Germany, Italy.

Lead by Ross Elfline with 15 total students in partipation across the years."
2018/03,2023/06,French And Francophone Studies In Paris,Scott Carpenter,Spring,83,France,France,,"This OCS ran from 2018/03 to 2023/06, and visited France.

Lead by Scott Carpenter with 83 total students in partipation across the years."
2017/08,2022/11,"Gep Buddhist Studies In Bodh Gaya, India",Arthur McKeown,Fall Semester,17,India,India,,"This OCS ran from 2017/08 to 2022/11, and visited India.

Lead by Arthur McKeown with 17 total students in partipation across the years."
2017/08,2017/11,Gep Globalization And Sustainable Development In Cameroon,Nicholas Hockin,Fall Semester,5,Cameroon,Cameroon,,"This OCS ran from 2017/08 to 2017/11, and visited Cameroon.

Lead by Nicholas Hockin with 5 total students in partipation across the years."
2017/08,2022/11,Gep Women's And Gender Studies In Europe,Iveta Jusova,Fall Semester,21,Poland,"Germany, Czech Republic, Netherlands, Poland",,"This OCS ran from 2017/08 to 2022/11, and visited Germany, Czech Republic, Netherlands, Poland.

Lead by Iveta Jusova with 21 total students in partipation across the years."
2017/06,2017/08,"Irish Literature, Art, Performance And Culture In Ireland",Pierre Hecker,Summer,15,Ireland,Ireland,,"This OCS ran from 2017/06 to 2017/08, and visited Ireland.

Lead by Pierre Hecker with 15 total students in partipation across the years."
2018/03,2019/06,Language And Culture In Global Russia,Diane Nemec Ignashev,Spring,18,Russia,Russia,,"This OCS ran from 2018/03 to 2019/06, and visited Russia.

Lead by Diane Nemec Ignashev with 18 total students in partipation across the years."
2019/1,2019/03,Cinema And Media Studies In Europe,Laska Jimsen,Winter,22,Portugal,"Denmark, Germany, The Netherlands, Portugal",,"This OCS ran from 2019/1 to 2019/03, and visited Denmark, Germany, The Netherlands, Portugal.

Lead by Laska Jimsen with 22 total students in partipation across the years."
2018/11,2019/12,"Conservation, Geology, And Natural History In Tasmania",Mary Savina & Nancy Braker,Winter Break,10,Australia,Australia,,"This OCS ran from 2018/11 to 2019/12, and visited Australia.

Lead by Mary Savina & Nancy Braker with 10 total students in partipation across the years."
2018/06,2019/08,Economics And European Studies In Cambridge,Paul Petzschmann,Summer,37,UK,"UK, Belgium, France",,"This OCS ran from 2018/06 to 2019/08, and visited UK, Belgium, France.

Lead by Paul Petzschmann with 37 total students in partipation across the years."
2019/03,2019/06,Pilgrimage And Sacred Space In Japan,Asuka Sango,Spring,18,Japan,Japan,,"This OCS ran from 2019/03 to 2019/06, and visited Japan.

Lead by Asuka Sango with 18 total students in partipation across the years."
2018/11,2022/12,"Society, History, And Popular Culture In Senegal",Chérif Keïta,Winter Break,22,Senegal,Senegal,,"This OCS ran from 2018/11 to 2022/12, and visited Senegal.

Lead by Chérif Keïta with 22 total students in partipation across the years."
2019/08,2022/11,German Studies In Berlin,"Kiley Kost, Seth Elliott Meyer",Fall,32,Germany,Germany,,"This OCS ran from 2019/08 to 2022/11, and visited Germany.

Lead by Kiley Kost, Seth Elliott Meyer with 32 total students in partipation across the years."
2019/06,2022/08,History Of Computing In England,David Liben-Nowelll,Summer,44,UK,UK,,"This OCS ran from 2019/06 to 2022/08, and visited UK.

Lead by David Liben-Nowelll with 44 total students in partipation across the years."
2019/06,2019/08,Irish Studies In Ireland,Constance Walker,Summer,12,Ireland,Ireland,,"This OCS ran from 2019/06 to 2019/08, and visited Ireland.

Lead by Constance Walker with 12 total students in partipation across the years."
2020/11,2023/12,Climate Change And Human Health In Ethiopia: From Science To Practice,Deborah Gross & Tsegaye Nega,Winter Break,25,Ethiopia,Ethiopia,,"This OCS ran from 2020/11 to 2023/12, and visited Ethiopia.

Lead by Deborah Gross & Tsegaye Nega with 25 total students in partipation across the years."
2021/08,2021/11,Gep Women's And Gender Studies In Europe (Moved to Sweden due to COVID),Iveta Jusova,Fall Semester,5,Sweden,Sweden,,"This OCS ran from 2021/08 to 2021/11, and visited Sweden.

Lead by Iveta Jusova with 5 total students in partipation across the years."
2022/03,2022/06,"History, Culture, And Commerce: Africa And Arabia",Thabiti Willis,Spring,20,"Bahrain, Oman, United Arab Emirates","Bahrain, Oman, United Arab Emirates",,"This OCS ran from 2022/03 to 2022/06, and visited Bahrain, Oman, United Arab Emirates.

Lead by Thabiti Willis with 20 total students in partipation across the years."
2022/03,2022/06,"Living London: Literature, Theater, Art, And The City",Pierre Hecker,Spring,15,UK,UK,,"This OCS ran from 2022/03 to 2022/06, and visited UK.

Lead by Pierre Hecker with 15 total students in partipation across the years."
2021/11,2022/12,"Making Public History In Boston And Washington, D.C.",Serena Zabin,Winter Break,12,USA,USA,,"This OCS ran from 2021/11 to 2022/12, and visited USA.

Lead by Serena Zabin with 12 total students in partipation across the years."
2022/11,2023/12,"Food, Forests, And Resliance:  Systems Of Socio-ecological Sustainability In Oaxaca, Mexico",Constanza Ocampo-Raeder & Dan Hernández,Winter Break,18,Mexico,Mexico,,"This OCS ran from 2022/11 to 2023/12, and visited Mexico.

Lead by Constanza Ocampo-Raeder & Dan Hernández with 18 total students in partipation across the years."
2023/03,2023/06,"Linguistics And Culture In Kyoto, Japan",Mike Flynn,Spring,19,Japan,Japan,,"This OCS ran from 2023/03 to 2023/06, and visited Japan.

Lead by Mike Flynn with 19 total students in partipation across the years."
2023/1,2023/03,"Living London: City, Scene, Anthropocene",Peter Balaam,Winter,26,UK,UK,,"This OCS ran from 2023/1 to 2023/03, and visited UK.

Lead by Peter Balaam with 26 total students in partipation across the years."
2023/03,2023/06,Russian At A Cultural Crossroad,Diane Nemec Ignshev & Victoria Thorstensson,Spring,12,Qazaqstan,Qazaqstan,,"This OCS ran from 2023/03 to 2023/06, and visited Qazaqstan.

Lead by Diane Nemec Ignshev & Victoria Thorstensson with 12 total students in partipation across the years."
